licensee_name,street,city,state,zip,licensee_number,channel_type,account_name,rtd_contract,location
29 CONVENIENCE MART,10755 COLESVILLE ROAD,silver_spring,MD,20901,DBW32443,On/Off-Premise,A&I ENTERPRISE VI . INC,Yes,10755 COLESVILLE ROAD SILVER SPRING MD 20901
3 BROTHERS LOUNGE,2405 PRICE AVENUE,wheaton,MD,20902,BBWLHR1640544,On Premise,3 BROTHERS LOUNGE LLC,No,2405 PRICE AVENUE WHEATON MD 20902
3 STAR BEER & WINE,18524 WOODFIELD ROAD,gaithersburg,MD,20879,ABW194,Off Premise,"CPSS, INC.",Yes,18524 WOODFIELD ROAD GAITHERSBURG MD 20879
6/12 CONVENIENT MART,14100-C DARNESTOWN RD.,germantown,MD,20874,DBW43142,On/Off-Premise,"AKSHAT ENTERPRISES, LLC",Yes,14100-C DARNESTOWN RD. GERMANTOWN MD 20874
7 BILLIARDS,15966 SHADY GROVE RD.,gaithersburg,MD,20877,DBWL36065,On Premise,"7 BILLARDS, INC.",No,15966 SHADY GROVE RD. GAITHERSBURG MD 20877
7 LOCKS BREWING,12227 WILKINS AVENUE,rockville,MD,20852,DBW21275,On/Off-Premise,"SLIGO MILL BREWING COMPANY, LLC",No,12227 WILKINS AVENUE ROCKVILLE MD 20852
A&A CATERING,7845 AIRPARK RD SUITE D & E,gaithersburg,MD,20879,CATBWL1271548,On Premise,A&A CATERING DMV LLC,No,7845 AIRPARK RD SUITE D & E GAITHERSBURG MD 20879
ABI AZTECA GRILL,11514 MIDDLEBROOK ROAD,germantown,MD,20876,BBWLHR792,On Premise,"AZTECA GRILL, LLC",No,11514 MIDDLEBROOK ROAD GERMANTOWN MD 20876
ABYSSINIA RESTAURANT,8221 GEORGIA AVE,silver_spring,MD,20910,BBWLHR561,On Premise,"SOLO & AD, INC.",No,8221 GEORGIA AVE SILVER SPRING MD 20910
ACAJUTLA RESTAURANT,18554 WOODFIELD RD,gaithersburg,MD,20879,BBWLHR1749545,On Premise,"ARCOR, INC",No,18554 WOODFIELD RD GAITHERSBURG MD 20879
AC HOTEL BETHESDA,4646 MONTGOMERY AVE.,bethesda,MD,20814,BBWLHM674355,On Premise,"7359 WISCONSIN AVE, LLC",No,4646 MONTGOMERY AVE. BETHEDA MD 20814
ADDIS BEER & WINE,730 SLIGO AVENUE,silver_spring,MD,20910,ABW29872,Off Premise,"HOT, INC.",Yes,730 SLIGO AVENUE SILVER SPRING MD 20910
ADULIS COFFEE AND ROASTERY,7825 EASTERN AVENUE,silver_spring,MD,20910,BBWLHR1490544,On Premise,"SPRING STAR GROUP, LLC",No,7825 EASTERN AVENUE SILVER SPRING MD 20910
AFI SILVER THEATRE&CULTURAL CENTER,8633 COLESVILLE ROAD,silver_spring,MD,20910,SBWLCPA1059463,On Premise,AMERICAN FILM INSTITUTE,No,8633 COLESVILLE ROAD SILVER SPRING MD 20910
AFRICAN PALACE,117 N. FREDERICK AVENUE,gaithersburg,MD,20877,DBWL21494,On Premise,"AFRICAN PALACE, LLC",No,117 N. FREDERICK AVENUE GAITHERSBURG MD 20877
AHADU MARKET,8107 FENTON STREET,silver_spring,MD,20910,ABWS1164495,Off Premise,AHADU MARKET LLC,No,8107 FENTON STREET SILVER SPRING MD 20910
A & H CONVENIENCE MARKET,11235 OAK LEAF DR.,silver_spring,MD,20901,ABW190259,Off Premise,A&H CONVENIENCE MARKET,Yes,11235 OAK LEAF DR. SILVER SPRING MD 20901
AH'HAAN BY BANGKOK GARDEN,237 A KENTLANDS BOULEVARD,gaithersburg,MD,20878,BBWLHR1840544,On Premise,"BKK FAMILY, LLC",No,237 A KENTLANDS BOULEVARD GAITHERSBURG MD 20878
AIRPARK BEER AND WINE,"7601 AIRPARK ROAD, UNIT G",gaithersburg,MD,20879,ABWS208,Off Premise,CRUNCHKIDS LLC,Yes,"7601 AIRPARK ROAD, UNIT G GAITHERSBURG MD 20879"
AJI-NIPPON RESTAURANT,6937 ARLINGTON RD,bethesda,MD,20814,BBWHR089,On/Off-Premise,"ASAHI FUSION, INC.",No,6937 ARLINGTON RD BETHESDA MD 20814
AKAGI,5751 FISHERS LN STE F,rockville,MD,20852,BBWHR1941544,On/Off-Premise,AKAGI SUSHI & HIBACHI LLC,No,5751 FISHERS LN STE F ROCKVILLE MD 20852
AKIRA RAMEN & IZAKAYA,"1800 ROCKVILLE PIKE, STE H1",rockville,MD,20852,HBWHR749355,On Premise,"HS PANIDA, INC.",No,"1800 ROCKVILLE PIKE, STE H1 ROCKVILLE MD 20852"
AKIRA RAMEN & IZAKAYA,105 PARAMOUNT PARK DRIVE,gaithersburg,MD,20879,BBWLHR1170498,On Premise,AKIRA GAI INC,No,105 PARAMOUNT PARK DRIVE GAITHERSBURG MD 20879
ALA BETHESDA,4948 FAIRMONT AVE,bethesda,MD,20814,BBWLHR1129448,On Premise,4948 FAIRMONT LLC,No,4948 FAIRMONT AVE BETHESDA MD 20814
ALATRI BROS.,4926 CORDELL AVENUE,bethesda,MD,20814,BBWLHR28339,On Premise,BRIGGS MANAGEMENT LLC,No,4926 CORDELL AVENUE BETHESDA MD 20814
