license_type,license_number,issue_date,expiration_date,primary_applicant,business_name,address,city,state,zip_code,telephone,location,year_of_issue,year_of_exp
BUILDING CONTRACTORS LICENSE,BC231695,11/05/2024,11/05/2026,Westwood Associates LLC,NA,4800 Hampden Lane,Bethesda,MD,20814,(301)634-8631,POINT (-77.09501 38.98273),2024,2026
BUILDING CONTRACTORS LICENSE,BC233227,10/16/2025,10/16/2027,"Orex Properties, LLC",NA,11305 Commonwealth Dr,Rockville,MD,20852,(301)477-5556,POINT (-77.11787 39.04436),2025,2027
BUILDING CONTRACTORS LICENSE,BC229569,12/06/2022,12/06/2026,"L.I.G. GROUP, Inc.",NA,10283 Ridgeline Drive,Montgomery Village,MD,20886,(240)898-7798,POINT (-77.20678 39.17474),2022,2026
BUILDING CONTRACTORS LICENSE,BC2035,01/05/1999,01/05/2027,"SPRING VALLEY BUILDERS, LLC","SPRING VALLEY BUILDERS, LLC",8849 TUCKERMAN LANE,POTOMAC,MD,20854,(301)980-1811,POINT (-77.1845 39.04959),1999,2027
BUILDING CONTRACTORS LICENSE,BC3975,01/08/2009,01/08/2027,BO-BUD CONSTRUCTION COMPANY OF VIRGINIA,NA,7202 Old Stage Rd,Rockville,MD,20852,(703)932-2495,POINT (-77.14755 39.05173),2009,2027
BUILDING CONTRACTORS LICENSE,BC3975,01/08/2009,01/08/2027,BO-BUD CONSTRUCTION COMPANY OF VIRGINIA,NA,7202 Old Stage Rd,Rockville,MD,20852,(703)932-2495,POINT (-77.14755 39.05173),2009,2027
BUILDING CONTRACTORS LICENSE,BC228120,12/02/2020,12/02/2026,"LUSTIG ASSOCIATES, LLC",NA,5614 Connecticut Ave NW,Washington,DC,20015,(202)744-1114,POINT (-77.07594 38.96554),2020,2026
BUILDING CONTRACTORS LICENSE,BC3975,01/08/2009,01/08/2027,BO-BUD CONSTRUCTION COMPANY OF VIRGINIA,NA,7202 Old Stage Rd,Rockville,MD,20852,(703)932-2495,POINT (-77.14755 39.05173),2009,2027
BUILDING CONTRACTORS LICENSE,BC226506,02/05/2019,02/05/2027,"Rivers Edge Builders, LLC",NA,1682 E. Gude Drive,Rockville,Md,20850,(301)343-7994,POINT (-77.13047 39.09312),2019,2027
BUILDING CONTRACTORS LICENSE,BC3975,01/08/2009,01/08/2027,BO-BUD CONSTRUCTION COMPANY OF VIRGINIA,NA,7202 Old Stage Rd,Rockville,MD,20852,(703)932-2495,POINT (-77.14755 39.05173),2009,2027
BUILDING CONTRACTORS LICENSE,BC223588,02/15/2017,02/15/2027,"Anchor Homes, LLC",NA,6862 Elm St.,Mclean,VA,22101,(703)997-1618,POINT (-77.18072 38.93736),2017,2027
BUILDING CONTRACTORS LICENSE,BC228119,12/02/2020,12/02/2026,"KEYSTONE CUSTOM HOMES, INC.",NA,227 Granite Run Drive,Lancaster,PA,17601,(717)464-9060,POINT (-76.33407 40.07597),2020,2026
BUILDING CONTRACTORS LICENSE,BC231831,12/13/2024,12/13/2026,"CHAPEL GARDEN, LLC",NA,6116 Executive Blvd.,North Bethesda,MD,20852,(301)251-2001,POINT (-77.12626 39.04758),2024,2026
BUILDING CONTRACTORS LICENSE,BC231827,12/13/2024,12/13/2026,10701 Rockrun 2021 LLC,NA,6116 Executive Blvd.,North Bethesda,MD,20852,(301)251-2001,POINT (-77.12626 39.04758),2024,2026
BUILDING CONTRACTORS LICENSE,BC231830,12/13/2024,12/13/2026,"ASP 9519 Milstead Drive, LLC",NA,5283 Corporate Dr,Frederick,MD,21703,(240)405-1345,POINT (-77.418583 39.378334),2024,2026
BUILDING CONTRACTORS LICENSE,BC231829,12/13/2024,12/13/2026,"ASP 8802 Ridge Road, LLC",NA,5283 Corporate Dr.,Frederick,MD,21703,(240)405-1345,POINT (-77.418583 39.378334),2024,2026
BUILDING CONTRACTORS LICENSE,BC231832,12/13/2024,12/13/2026,Hillmead 2024 LLC,NA,6116 Executive Blvd.,North Bethesda,MD,20852,(301)251-2001,POINT (-77.12626 39.04758),2024,2026
BUILDING CONTRACTORS LICENSE,BC231833,12/13/2024,12/13/2026,Polo 2023 LLC,NA,6116 Executive Blvd.,North Bethesda,MD,20852,(301)251-2001,POINT (-77.12626 39.04758),2024,2026
BUILDING CONTRACTORS LICENSE,BC231828,12/13/2024,12/13/2026,8613 Melwood Road LLC,NA,7760 Elmwood Road,Fulton,MD,20759,(301)873-4747,POINT (-76.91162 39.16135),2024,2026
BUILDING CONTRACTORS LICENSE,BC229771,03/07/2023,03/07/2027,PSTA Towns LLC,NA,1355 Beverly Road,McLean,VA,22101,(703)734-9855,POINT (-77.17757 38.93675),2023,2027
BUILDING CONTRACTORS LICENSE,BC231849,12/20/2024,12/20/2026,Kehoe Group 7917 Maryknoll Ave LLC,NA,4511 Everett St,Kensington,MD,20895,(301)512-7069,POINT (-77.08981 39.02302),2024,2026
BUILDING CONTRACTORS LICENSE,BC229769,03/07/2023,03/07/2027,PSTA Condos LLC,NA,1355 Beverly Road,McLean,VA,22101,(703)734-9855,POINT (-77.17757 38.93675),2023,2027
BUILDING CONTRACTORS LICENSE,BC229770,03/07/2023,03/07/2027,PSTA Towns II LLC,NA,1355 Beverly Road,McLean,VA,22101,(703)734-9855,POINT (-77.17757 38.93675),2023,2027
BUILDING CONTRACTORS LICENSE,BC223407,12/15/2016,12/15/2026,"CARUSO HOMES, INC.","CARUSO HOMES, INC.",2120 BALDWIN AVENUE,CROFTON,MD,21114,(667)307-4211,POINT (-76.69497 38.99168),2016,2026
BUILDING CONTRACTORS LICENSE,BC3693,01/07/2003,01/07/2027,"DREAM HOMES BY FOROUTAN DREAM HOME REMODELING & CONSTRUCTION, LLC",DREAM HOME REMODELING & CONSTR,7009 MILLWOOD ROAD,BETHESDA,MD,20817,(301)657-4060x,POINT (-77.12052 38.98072),2003,2027
BUILDING CONTRACTORS LICENSE,BC223468,01/05/2017,01/05/2027,BROOKFIELD WASHINGTON LLC,"BROOKFIELD WASHINGTON, LLC",3201 JERMANTOWN ROAD,FAIRFAX,VA,22030,(703)270-1400,POINT (-77.31122 38.87448),2017,2027
BUILDING CONTRACTORS LICENSE,BC231887,01/08/2025,01/08/2027,"Abode Construction, LLC",NA,23450 Woodfield Road,Gaithersburg,MD,20882,(301)412-1715,POINT (-77.18307 39.24111),2025,2027
BUILDING CONTRACTORS LICENSE,BC231889,01/08/2025,01/08/2027,RCG Homes LLC,NA,12401 Glen Mill Rd,Potomac,MD,20854,(240)793-6843,POINT (-77.21577 39.06089),2025,2027
BUILDING CONTRACTORS LICENSE,BC231888,01/08/2025,01/08/2027,"Edgewood Builders, Inc.",NA,2423 Dexter Ave.,Silver Spring,MD,20902,(301)233-4380,POINT (-77.05266 39.02201),2025,2027
BUILDING CONTRACTORS LICENSE,BC230268,09/05/2023,09/05/2027,"Christopher Management, Inc.",NA,10461 White Granite Drive,Oakton,VA,22124,(703)352-5950,POINT (-77.30612 38.87252),2023,2027
BUILDING CONTRACTORS LICENSE,BC229489,10/17/2022,10/17/2024,NIROO'S CONSTRUCTION INC.,NA,800 Rockwell Ave,Gaithersburg,MD,20878,(301)469-0500,POINT (-77.19977 39.11185),2022,2024
BUILDING CONTRACTORS LICENSE,BC229531,11/03/2022,11/03/2026,R&LM CONSTRUCTION LLC,NA,11119 Troy Road,Rockville,MD,20852,(240)485-6271,POINT (-77.09015 39.03703),2022,2026
BUILDING CONTRACTORS LICENSE,BC225003,06/05/2018,06/05/2020,"Renovation Solutions, LLC",NA,205 Warrenton Drive,Silver Spring,MD,20904,(301)807-2514,POINT (-77.00457 39.05317),2018,2020
BUILDING CONTRACTORS LICENSE,BC228296,03/03/2021,03/03/2027,"NEHEMIAH CONSTRUCTION, LLC",NA,6000 Merriweather Dr,Columbia,MD,21044,(240)417-1372,POINT (-76.86266 39.20705),2021,2027
BUILDING CONTRACTORS LICENSE,BC229278,06/10/2022,06/10/2024,"ASP 10008 DICKENS AVENUE, LLC",NA,5283 Corporate Drive,Frederick,MD,21703,(240)405-1333,POINT (-77.41859 39.37741),2022,2024
