license_type,license_number,issue_date,expiration_date,primary_applicant,address,city,state,zip_code,telephone,location,year_of_issue,year_of_exp
BUILDING CONTRACTORS LICENSE,BC231695,11/05/2024,11/05/2026,Westwood Associates LLC,4800 Hampden Lane,bethesda,MD,20814,(301)634-8631,POINT (-77.09501 38.98273),2024,2026
BUILDING CONTRACTORS LICENSE,BC233227,10/16/2025,10/16/2027,"Orex Properties, LLC",11305 Commonwealth Dr,rockville,MD,20852,(301)477-5556,POINT (-77.11787 39.04436),2025,2027
BUILDING CONTRACTORS LICENSE,BC229569,12/06/2022,12/06/2026,"L.I.G. GROUP, Inc.",10283 Ridgeline Drive,montgomery village,MD,20886,(240)898-7798,POINT (-77.20678 39.17474),2022,2026
BUILDING CONTRACTORS LICENSE,BC2035,01/05/1999,01/05/2027,"SPRING VALLEY BUILDERS, LLC",8849 TUCKERMAN LANE,potomac,MD,20854,(301)980-1811,POINT (-77.1845 39.04959),1999,2027
BUILDING CONTRACTORS LICENSE,BC3975,01/08/2009,01/08/2027,BO-BUD CONSTRUCTION COMPANY OF VIRGINIA,7202 Old Stage Rd,rockville,MD,20852,(703)932-2495,POINT (-77.14755 39.05173),2009,2027
BUILDING CONTRACTORS LICENSE,BC3975,01/08/2009,01/08/2027,BO-BUD CONSTRUCTION COMPANY OF VIRGINIA,7202 Old Stage Rd,rockville,MD,20852,(703)932-2495,POINT (-77.14755 39.05173),2009,2027
BUILDING CONTRACTORS LICENSE,BC228120,12/02/2020,12/02/2026,"LUSTIG ASSOCIATES, LLC",5614 Connecticut Ave NW,washington,DC,20015,(202)744-1114,POINT (-77.07594 38.96554),2020,2026
BUILDING CONTRACTORS LICENSE,BC3975,01/08/2009,01/08/2027,BO-BUD CONSTRUCTION COMPANY OF VIRGINIA,7202 Old Stage Rd,rockville,MD,20852,(703)932-2495,POINT (-77.14755 39.05173),2009,2027
BUILDING CONTRACTORS LICENSE,BC226506,02/05/2019,02/05/2027,"Rivers Edge Builders, LLC",1682 E. Gude Drive,rockville,Md,20850,(301)343-7994,POINT (-77.13047 39.09312),2019,2027
BUILDING CONTRACTORS LICENSE,BC3975,01/08/2009,01/08/2027,BO-BUD CONSTRUCTION COMPANY OF VIRGINIA,7202 Old Stage Rd,rockville,MD,20852,(703)932-2495,POINT (-77.14755 39.05173),2009,2027
BUILDING CONTRACTORS LICENSE,BC223588,02/15/2017,02/15/2027,"Anchor Homes, LLC",6862 Elm St.,mclean,VA,22101,(703)997-1618,POINT (-77.18072 38.93736),2017,2027
BUILDING CONTRACTORS LICENSE,BC228119,12/02/2020,12/02/2026,"KEYSTONE CUSTOM HOMES, INC.",227 Granite Run Drive,lancaster,PA,17601,(717)464-9060,POINT (-76.33407 40.07597),2020,2026
BUILDING CONTRACTORS LICENSE,BC231831,12/13/2024,12/13/2026,"CHAPEL GARDEN, LLC",6116 Executive Blvd.,north bethesda,MD,20852,(301)251-2001,POINT (-77.12626 39.04758),2024,2026
BUILDING CONTRACTORS LICENSE,BC231827,12/13/2024,12/13/2026,10701 Rockrun 2021 LLC,6116 Executive Blvd.,north bethesda,MD,20852,(301)251-2001,POINT (-77.12626 39.04758),2024,2026
BUILDING CONTRACTORS LICENSE,BC231830,12/13/2024,12/13/2026,"ASP 9519 Milstead Drive, LLC",5283 Corporate Dr,frederick,MD,21703,(240)405-1345,POINT (-77.418583 39.378334),2024,2026
BUILDING CONTRACTORS LICENSE,BC231829,12/13/2024,12/13/2026,"ASP 8802 Ridge Road, LLC",5283 Corporate Dr.,frederick,MD,21703,(240)405-1345,POINT (-77.418583 39.378334),2024,2026
BUILDING CONTRACTORS LICENSE,BC231832,12/13/2024,12/13/2026,Hillmead 2024 LLC,6116 Executive Blvd.,north bethesda,MD,20852,(301)251-2001,POINT (-77.12626 39.04758),2024,2026
BUILDING CONTRACTORS LICENSE,BC231833,12/13/2024,12/13/2026,Polo 2023 LLC,6116 Executive Blvd.,north bethesda,MD,20852,(301)251-2001,POINT (-77.12626 39.04758),2024,2026
BUILDING CONTRACTORS LICENSE,BC231828,12/13/2024,12/13/2026,8613 Melwood Road LLC,7760 Elmwood Road,fulton,MD,20759,(301)873-4747,POINT (-76.91162 39.16135),2024,2026
BUILDING CONTRACTORS LICENSE,BC229771,03/07/2023,03/07/2027,PSTA Towns LLC,1355 Beverly Road,mclean,VA,22101,(703)734-9855,POINT (-77.17757 38.93675),2023,2027
BUILDING CONTRACTORS LICENSE,BC231849,12/20/2024,12/20/2026,Kehoe Group 7917 Maryknoll Ave LLC,4511 Everett St,kensington,MD,20895,(301)512-7069,POINT (-77.08981 39.02302),2024,2026
BUILDING CONTRACTORS LICENSE,BC229769,03/07/2023,03/07/2027,PSTA Condos LLC,1355 Beverly Road,mclean,VA,22101,(703)734-9855,POINT (-77.17757 38.93675),2023,2027
BUILDING CONTRACTORS LICENSE,BC229770,03/07/2023,03/07/2027,PSTA Towns II LLC,1355 Beverly Road,mclean,VA,22101,(703)734-9855,POINT (-77.17757 38.93675),2023,2027
BUILDING CONTRACTORS LICENSE,BC223407,12/15/2016,12/15/2026,"CARUSO HOMES, INC.",2120 BALDWIN AVENUE,crofton,MD,21114,(667)307-4211,POINT (-76.69497 38.99168),2016,2026
BUILDING CONTRACTORS LICENSE,BC3693,01/07/2003,01/07/2027,"DREAM HOMES BY FOROUTAN DREAM HOME REMODELING & CONSTRUCTION, LLC",7009 MILLWOOD ROAD,bethesda,MD,20817,(301)657-4060x,POINT (-77.12052 38.98072),2003,2027
