case_number,case_open_date,case_close_date,case_year,case_sub_type,zip_code,parsed_date,months
5119,12/13/1995,01/03/1996,1995,residentual_house_yard,missing,1995-12-13,12
20231728,06/02/2023,06/22/2023,2023,industrial_or_comm_equip,missing,2023-06-02,06
2014991,07/14/2014,10/13/2014,2014,other_causes,missing,2014-07-14,07
5899,06/03/1996,11/05/2019,1996,amp_equiptment,missing,1996-06-03,06
1992930215,08/12/1992,08/12/1992,1992,leaf_blower,missing,1992-08-12,08
20202179,07/16/2020,08/06/2020,2020,other_causes,missing,2020-07-16,07
6481,11/04/1996,07/31/1997,1996,residentual_house_yard,missing,1996-11-04,11
20131143,09/10/2013,10/30/2013,2013,residential_mechanical,missing,2013-09-10,09
20191304,03/13/2019,07/12/2019,2019,residentual_multi_tennant_dwelling,missing,2019-03-13,03
6582,12/02/1996,07/31/1997,1996,residentual_house_yard,missing,1996-12-02,12
25308,08/05/2011,10/14/2011,2011,other_causes,missing,2011-08-05,08
20231553,05/02/2023,05/17/2023,2023,other_causes,missing,2023-05-02,05
26474,06/04/2012,09/07/2012,2012,other_causes,missing,2012-06-04,06
20212392,09/14/2021,09/22/2021,2021,other_causes,missing,2021-09-14,09
2013608,06/05/2013,07/09/2013,2013,residentual_multi_tennant_dwelling,missing,2013-06-05,06
15915,02/10/2005,03/02/2005,2005,residential_mechanical,missing,2005-02-10,02
20212629,10/28/2021,11/15/2021,2021,industrial_or_comm_equip,missing,2021-10-28,10
22288,08/27/2009,08/27/2009,2009,industrial_or_comm_equip,missing,2009-08-27,08
22012,07/10/2009,07/20/2009,2009,residential_construction,missing,2009-07-10,07
20191664,04/25/2019,05/08/2019,2019,residential_construction,missing,2019-04-25,04
5375,01/23/1996,03/04/1996,1996,amp_equiptment,missing,1996-01-23,01
14217,03/02/2004,12/21/2004,2004,residential_construction,missing,2004-03-02,03
7569,07/21/1997,07/28/1997,1997,residentual_house_yard,missing,1997-07-21,07
6540,11/22/1996,01/20/1997,1996,residentual_house_yard,missing,1996-11-22,11
20231617,05/15/2023,06/13/2023,2023,amp_equiptment,missing,2023-05-15,05
16267,05/06/2005,08/31/2005,2005,industrial_or_comm_equip,missing,2005-05-06,05
5665,04/12/1996,05/29/1996,1996,amp_equiptment,missing,1996-04-12,04
2014350,03/14/2014,03/14/2014,2014,residentual_multi_tennant_dwelling,missing,2014-03-14,03
20221348,03/23/2022,05/10/2022,2022,other_causes,missing,2022-03-23,03
18863,04/09/2007,07/02/2007,2007,other_causes,missing,2007-04-09,04
20241315,03/06/2024,04/25/2024,2024,industrial_or_comm_equip,missing,2024-03-06,03
4749,07/26/1995,05/13/1996,1995,residential_construction,missing,1995-07-26,07
1992930176,07/31/1992,07/31/1992,1992,leaf_blower,missing,1992-07-31,07
21151,12/22/2008,02/03/2009,2008,other_causes,missing,2008-12-22,12
20192741,11/25/2019,03/31/2020,2019,other_causes,missing,2019-11-25,11
20181198,02/26/2018,03/19/2020,2018,other_causes,missing,2018-02-26,02
20211479,03/31/2021,04/06/2021,2021,residentual_multi_tennant_dwelling,missing,2021-03-31,03
20211860,06/08/2021,06/09/2021,2021,other_causes,missing,2021-06-08,06
20192147,07/23/2019,07/30/2019,2019,residential_construction,missing,2019-07-23,07
20211811,06/02/2021,06/04/2021,2021,amp_equiptment,missing,2021-06-02,06
6316,09/16/1996,10/02/1996,1996,residentual_house_yard,missing,1996-09-16,09
1989900399,10/30/1989,11/22/1989,1989,other_causes,missing,1989-10-30,10
20221754,06/07/2022,06/23/2022,2022,other_causes,missing,2022-06-07,06
6516,11/18/1996,06/18/1997,1996,residentual_house_yard,missing,1996-11-18,11
12881,05/04/2003,05/05/2003,2003,other_causes,missing,2003-05-04,05
20172324,10/05/2017,11/02/2017,2017,industrial_or_comm_equip,missing,2017-10-05,10
20241726,05/28/2024,06/18/2024,2024,leaf_blower,missing,2024-05-28,05
20212714,11/15/2021,11/17/2021,2021,other_causes,missing,2021-11-15,11
1991911477,06/13/1991,07/08/1991,1991,residentual_multi_tennant_dwelling,missing,1991-06-13,06
20191867,05/29/2019,06/21/2019,2019,residential_motor_vehicle,missing,2019-05-29,05
23360,05/18/2010,07/16/2010,2010,other_causes,missing,2010-05-18,05
21322,02/12/2009,04/17/2009,2009,residential_construction,missing,2009-02-12,02
3787,05/04/1995,06/14/1995,1995,residential_motor_vehicle,missing,1995-05-04,05
3106,04/26/1994,06/01/1994,1994,industrial_or_comm_equip,missing,1994-04-26,04
2014588,04/28/2014,04/28/2014,2014,amp_equiptment,missing,2014-04-28,04
4152,03/14/1995,03/30/1995,1995,residential_construction,missing,1995-03-14,03
5843,05/17/1996,06/03/1996,1996,residential_construction,missing,1996-05-17,05
7320,05/22/1997,06/11/1997,1997,industrial_or_comm_equip,missing,1997-05-22,05
1990910410,10/16/1990,11/26/1990,1990,leaf_blower,missing,1990-10-16,10
6894,02/28/1997,06/16/1997,1997,residentual_house_yard,missing,1997-02-28,02
8169,04/29/1999,09/08/1999,1999,industrial_or_comm_equip,missing,1999-04-29,04
5932,06/10/1996,07/05/1996,1996,residentual_house_yard,missing,1996-06-10,06
1992930226,08/14/1992,08/14/1992,1992,leaf_blower,missing,1992-08-14,08
4205,03/23/1995,04/13/1995,1995,residentual_house_yard,missing,1995-03-23,03
1989900410,10/30/1989,11/30/1989,1989,residentual_multi_tennant_dwelling,missing,1989-10-30,10
6213,08/12/1996,11/18/1996,1996,residential_construction,missing,1996-08-12,08
6472,10/29/1996,01/20/1997,1996,residential_construction,missing,1996-10-29,10
1990901098,05/25/1990,06/06/1990,1990,leaf_blower,missing,1990-05-25,05
