Case Number,Case Open Date,Case Close Date,Case Year,Case Sub-Type,Address Zip Code
5119,12/13/1995,01/03/1996,1995,Residential House/yard,
20231728,06/02/2023,06/22/2023,2023,Industrial/commercial   Equipment Noise,
2014991,07/14/2014,10/13/2014,2014,Waiver Request,
5899,06/03/1996,11/05/2019,1996,Residential   El  Amplification Equip,
1992930215,08/12/1992,08/12/1992,1992,Noise Industrial/commercial   Leaf Blower Noise,
20202179,07/16/2020,08/06/2020,2020,Information Request,
6481,11/04/1996,07/31/1997,1996,Residential House/yard,
20131143,09/10/2013,10/30/2013,2013,Residential   Mechanical,
20191304,03/13/2019,07/12/2019,2019,Residential Muti Tenant Dwelling,
6582,12/02/1996,07/31/1997,1996,Residential House/yard,
25308,08/05/2011,10/14/2011,2011,Waiver Request,
20231553,05/02/2023,05/17/2023,2023,Information Request,
26474,06/04/2012,09/07/2012,2012,Waiver Request,
20212392,09/14/2021,09/22/2021,2021,Information Request,
2013608,06/05/2013,07/09/2013,2013,Residential Muti Tenant Dwelling,
15915,02/10/2005,03/02/2005,2005,Residential   Mechanical,
20212629,10/28/2021,11/15/2021,2021,Industrial/commercial   Equipment Noise,
22288,08/27/2009,08/27/2009,2009,Industrial/commercial   Equipment Noise,
22012,07/10/2009,07/20/2009,2009,Industrial/commercial  construction/repair/demolit,
20191664,04/25/2019,05/08/2019,2019,Industrial/commercial  construction/repair/demolit,
5375,01/23/1996,03/04/1996,1996,Residential   El  Amplification Equip,
14217,03/02/2004,12/21/2004,2004,Industrial/commercial  construction/repair/demolit,
7569,07/21/1997,07/28/1997,1997,Residential House/yard,
6540,11/22/1996,01/20/1997,1996,Residential House/yard,
20231617,05/15/2023,06/13/2023,2023,Residential   El  Amplification Equip,
16267,05/06/2005,08/31/2005,2005,Industrial/commercial   Equipment Noise,
5665,04/12/1996,05/29/1996,1996,Residential   El  Amplification Equip,
2014350,03/14/2014,03/14/2014,2014,Residential Muti Tenant Dwelling,
20221348,03/23/2022,05/10/2022,2022,Waiver Request,
18863,04/09/2007,07/02/2007,2007,Waiver Request,
20241315,03/06/2024,04/25/2024,2024,Industrial/commercial   Equipment Noise,
4749,07/26/1995,05/13/1996,1995,Residential   Construction/repair/demolition,
1992930176,07/31/1992,07/31/1992,1992,Noise Industrial/commercial   Leaf Blower Noise,
21151,12/22/2008,02/03/2009,2008,Waiver Request,
20192741,11/25/2019,03/31/2020,2019,Waiver Request,
20181198,02/26/2018,03/19/2020,2018,Waiver Request,
20211479,03/31/2021,04/06/2021,2021,Residential Muti Tenant Dwelling,
20211860,06/08/2021,06/09/2021,2021,Information Request,
20192147,07/23/2019,07/30/2019,2019,Industrial/commercial  construction/repair/demolit,
20211811,06/02/2021,06/04/2021,2021,Residential   El  Amplification Equip,
6316,09/16/1996,10/02/1996,1996,Residential House/yard,
1989900399,10/30/1989,11/22/1989,1989,Waiver Request,
20221754,06/07/2022,06/23/2022,2022,Information Request,
6516,11/18/1996,06/18/1997,1996,Residential House/yard,
12881,05/04/2003,05/05/2003,2003,Information Request,
20172324,10/05/2017,11/02/2017,2017,Industrial/commercial   Equipment Noise,
20241726,05/28/2024,06/18/2024,2024,Noise Industrial/commercial   Leaf Blower Noise,
20212714,11/15/2021,11/17/2021,2021,Information Request,
1991911477,06/13/1991,07/08/1991,1991,Residential Muti Tenant Dwelling,
20191867,05/29/2019,06/21/2019,2019,Residential   Motor Vehicle Noise,
23360,05/18/2010,07/16/2010,2010,Waiver Request,
21322,02/12/2009,04/17/2009,2009,Industrial/commercial  construction/repair/demolit,
3787,05/04/1995,06/14/1995,1995,Residential   Motor Vehicle Noise,
3106,04/26/1994,06/01/1994,1994,Industrial/commercial   Equipment Noise,
2014588,04/28/2014,04/28/2014,2014,Industrial/commercial   Electrical Amp Equip,
4152,03/14/1995,03/30/1995,1995,Residential   Construction/repair/demolition,
5843,05/17/1996,06/03/1996,1996,Industrial/commercial  construction/repair/demolit,
7320,05/22/1997,06/11/1997,1997,Industrial/commercial   Equipment Noise,
1990910410,10/16/1990,11/26/1990,1990,Noise Industrial/commercial   Leaf Blower Noise,
6894,02/28/1997,06/16/1997,1997,Residential House/yard,
8169,04/29/1999,09/08/1999,1999,Industrial/commercial   Equipment Noise,
5932,06/10/1996,07/05/1996,1996,Residential House/yard,
1992930226,08/14/1992,08/14/1992,1992,Noise Industrial/commercial   Leaf Blower Noise,
4205,03/23/1995,04/13/1995,1995,Residential House/yard,
1989900410,10/30/1989,11/30/1989,1989,Residential Muti Tenant Dwelling,
6213,08/12/1996,11/18/1996,1996,Industrial/commercial  construction/repair/demolit,
6472,10/29/1996,01/20/1997,1996,Industrial/commercial  construction/repair/demolit,
1990901098,05/25/1990,06/06/1990,1990,Noise Industrial/commercial   Leaf Blower Noise,
20622,07/21/2008,07/28/2008,2008,Industrial/commercial   Equipment Noise,
1991920056,07/08/1991,07/24/1991,1991,Residential Muti Tenant Dwelling,
1991920351,09/12/1991,11/06/1991,1991,Noise Industrial/commercial   Leaf Blower Noise,
4306,04/18/1995,06/05/1995,1995,Industrial/commercial   Equipment Noise,
1991920072,07/18/1991,08/09/1991,1991,Noise Industrial/commercial   Leaf Blower Noise,
4947,09/20/1995,02/05/1996,1995,Residential House/yard,
6080,07/23/1996,08/12/1996,1996,Industrial/commercial  construction/repair/demolit,
20222573,12/13/2022,12/27/2022,2022,Residential   El  Amplification Equip,
6159,07/31/1996,08/13/1996,1996,Residential   El  Amplification Equip,
6205,07/15/1996,11/18/1996,1996,Industrial/commercial   Equipment Noise,
1989900507,12/14/1989,12/28/1989,1989,Noise Industrial/commercial   Leaf Blower Noise,
6735,01/22/1997,06/09/1997,1997,Industrial/commercial   Refuse Noise Collection,
9268,11/26/1999,12/10/1999,1999,Residential   El  Amplification Equip,
1990900960,04/26/1990,06/11/1990,1990,Noise Industrial/commercial   Leaf Blower Noise,
4518,06/06/1995,06/21/1995,1995,Residential   El  Amplification Equip,
1992921236,04/24/1992,04/24/1992,1992,Noise Industrial/commercial   Leaf Blower Noise,
16984,11/30/2005,11/30/2005,2005,Information Request,
1989900164,08/15/1989,08/28/1989,1989,Noise Industrial/commercial   Leaf Blower Noise,
1992921042,03/04/1992,03/20/1992,1992,Noise Industrial/commercial   Leaf Blower Noise,
